Medicamento,Nome_do_Arquivo_PDF,Doencas_CIDs,Caminho_Local,URL_Origem
Home,protocolo_check_list_acoes.pdf,,pdfs_bmed_alto_custo\protocolo_check_list_acoes.pdf,http://portal.saude.sp.gov.br/resources/ses/perfil/cidadao/homepage-new/outros-destaques/protocolo_check_list_acoes.pdf
Gestor,covid-19_diretrizes_de_acao_para_as_ubs_-_final_11maio2021.pdf,,pdfs_bmed_alto_custo\covid-19_diretrizes_de_acao_para_as_ubs_-_final_11maio2021.pdf,https://saude.sp.gov.br/resources/ses/perfil/gestor/homepage-new/banner-central/covid-19_diretrizes_de_acao_para_as_ubs_-_final_11maio2021.pdf
Gestor,informe_programa_saude_na_escola.docx.pdf,,pdfs_bmed_alto_custo\informe_programa_saude_na_escola.docx.pdf,https://saude.sp.gov.br/resources/ses/perfil/gestor/conteudos-banner-central/informe_programa_saude_na_escola.docx.pdf
Gestor,amamenta_e_alimenta_brasil.pdf,,pdfs_bmed_alto_custo\amamenta_e_alimenta_brasil.pdf,https://saude.sp.gov.br/resources/ses/perfil/gestor/conteudos-banner-central/amamenta_e_alimenta_brasil.pdf
Profissional da Saúde,pesquisa_is_e_butantan_corrigido.pdf,,pdfs_bmed_alto_custo\pesquisa_is_e_butantan_corrigido.pdf,https://saude.sp.gov.br/resources/ses/perfil/profissional-da-saude/homepage-new/conteudo-banner-central/pesquisa_is_e_butantan_corrigido.pdf
abatacepte,abatacepte_artrite_reumatoide_v8.pdf,,pdfs_bmed_alto_custo\abatacepte_artrite_reumatoide_v8.pdf,https://saude.sp.gov.br/resources/ses/perfil/gestor/assistencia-farmaceutica/medicamentos-dos-componentes-da-assistencia-farmaceutica/medicamentos-do-componente-especializado-da-assistencia-farmaceutica/protocolos-clinicos-e-diretrizes-terapeuticas-do-ministerio-da-saude/abatacepte_artrite_reumatoide_v8.pdf
abatacepte,abatacepte_artrite_idiopatica_v22.pdf,,pdfs_bmed_alto_custo\abatacepte_artrite_idiopatica_v22.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/abatacepte_artrite_idiopatica_v22.pdf
ácido ursodesoxicólico,acido_ursodesoxicolico_colangite_biliar_primaria_v6.pdf,,pdfs_bmed_alto_custo\acido_ursodesoxicolico_colangite_biliar_primaria_v6.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/acido_ursodesoxicolico_colangite_biliar_primaria_v6.pdf
ácido zoledrônico,473_acido_zoledronico_paget_v4.pdf,,pdfs_bmed_alto_custo\473_acido_zoledronico_paget_v4.pdf,https://saude.sp.gov.br/resources/ses/perfil/gestor/assistencia-farmaceutica/medicamentos-do-componente-especializado-da-assistencia-farmaceutica/473_acido_zoledronico_paget_v4.pdf
ácido zoledrônico,530_acido_zoledronico_osteoporose_v10.pdf,,pdfs_bmed_alto_custo\530_acido_zoledronico_osteoporose_v10.pdf,https://saude.sp.gov.br/resources/ses/perfil/gestor/assistencia-farmaceutica/medicamentos-do-componente-especializado-da-assistencia-farmaceutica/530_acido_zoledronico_osteoporose_v10.pdf
